Ultimo;Abertura;Maxima;Minima;Var%
284,23;284,85;284,85;284,23;-0,27%
285,01;286,26;286,26;285,01;-0,06%
285,19;286,25;286,25;285,19;-0,33%
286,14;289,58;289,58;286,14;-1,19%
289,58;289,88;289,88;289,58;0,10%
289,3;295,74;295,74;289,3;-1,89%
294,86;298,19;298,19;294,86;-0,87%
297,44;302,43;302,43;297,44;-1,96%
303,38;302,24;303,38;302,24;0,75%
301,12;299;301,12;299;1,10%
297,84;297,62;297,84;297,62;-0,26%
298,61;301,56;301,56;298,61;-0,82%
301,09;299,84;301,09;299,84;0,82%
298,65;298,42;298,65;298,42;0,17%
298,13;299,21;299,21;298,13;-0,04%
298,24;292,99;298,24;292,99;2,36%
291,37;299;299;291,37;-1,42%
295,57;309,57;309,57;295,57;-4,36%
309,05;314,69;314,69;309,05;-1,27%
313,02;314,83;314,83;313,02;-0,14%
313,45;323,48;323,48;313,45;-3,21%
323,84;332,12;332,12;323,84;-2,71%
332,87;332,64;332,87;332,64;0,30%
331,89;340,73;340,73;331,89;-2,87%
341,68;316,09;341,68;316,09;5,38%
324,25;323,48;324,81;323,48;0,03%
324,15;323,48;324,15;323,48;0,56%
322,36;320,41;322,36;320,41;1,04%
319,03;314,4;319,03;314,4;1,67%
313,8;314,39;314,39;313,8;-0,17%
314,34;316,09;316,09;314,34;-0,33%
315,38;314,73;315,38;314,73;0,28%
314,51;314,03;314,51;314,03;0,57%
312,73;312,05;312,73;312,05;0,30%
311,81;314,59;314,59;311,81;-0,78%
314,26;315,97;315,97;314,26;-0,16%
314,76;311,14;314,76;311,14;1,65%
309,65;312,26;312,26;309,65;-0,99%
312,76;306,97;312,76;306,97;0,27%
311,92;317,87;317,87;311,92;-1,20%
315,7;324,73;324,73;315,7;-3,61%
327,53;330,48;330,48;327,53;-0,59%
329,47;327,86;329,47;327,86;0,22%
328,76;323,79;328,76;323,79;1,35%
324,39;316,28;324,39;316,28;3,15%
314,48;310,16;314,48;310,16;2,23%
307,62;306,97;307,62;306,97;0,39%
306,42;305,88;306,42;305,88;0,32%
305,45;315,27;315,27;305,45;-4,32%
319,24;307,48;319,24;307,48;3,44%
308,63;294,58;308,63;294,58;5,13%
293,57;291,87;293,57;291,87;0,54%
291,99;285,3;291,99;285,3;2,33%
285,34;283,69;285,34;283,69;0,55%
283,79;284,01;284,01;283,79;-0,05%
283,94;290,76;290,76;283,94;-2,33%
290,71;291,76;291,76;290,71;-0,16%
291,18;288,28;291,18;288,28;1,68%
286,37;288,27;288,27;286,37;0,00%
286,36;285,51;286,36;285,51;0,56%
284,76;288,91;288,91;284,76;-1,44%
288,92;288,18;288,92;288,18;0,51%
287,46;288,11;288,11;287,46;-0,35%
288,46;283,78;288,46;283,78;2,08%
282,57;285,06;285,06;282,57;-0,78%
284,78;285,94;285,94;284,78;0,27%
284;287,37;287,37;284;-1,01%
286,91;281,66;286,91;281,66;1,83%
281,75;279,72;281,75;279,72;1,04%
278,84;274,56;278,84;274,56;1,50%
274,73;274,72;274,73;274,72;-0,15%
275,13;276,56;276,56;275,13;-0,88%
277,56;277,07;277,56;277,07;0,84%
275,24;261,49;275,24;261,49;4,94%
262,29;260,6;262,29;260,6;0,29%
261,54;259,48;261,54;259,48;0,07%
261,35;261,92;261,92;261,35;-0,07%
261,53;260,15;261,53;260,15;0,51%
260,2;259,53;260,2;259,53;0,00%
260,21;261,02;261,02;260,21;-1,99%
265,49;262,03;265,49;262,03;1,43%
261,75;258,18;261,75;258,18;1,14%
258,81;256,44;258,81;256,44;0,64%
257,16;256,54;257,16;256,54;-0,02%
257,2;256,81;257,2;256,81;0,05%
257,08;258,28;258,28;257,08;-0,51%
258,4;258,41;258,41;258,4;-0,11%
258,69;255,27;258,69;255,27;0,91%
256,35;262,12;262,12;256,35;-1,02%
258,99;262,12;262,12;258,99;-1,31%
262,43;262,44;262,44;262,43;-0,03%
262,5;265,2;265,2;262,5;-1,29%
265,94;268,66;268,66;265,94;-1,08%
268,84;269,83;269,83;268,84;-0,95%
271,41;270,49;271,41;270,49;0,19%
270,89;266,04;270,89;266,04;2,18%
265,11;260,88;265,11;260,88;1,18%
262,01;258,16;262,01;258,16;1,01%
259,39;257,07;259,39;257,07;0,80%
257,32;258,56;258,56;257,32;-0,32%
258,15;261,78;261,78;258,15;-1,39%
261,78;263,32;263,32;261,78;-0,83%
263,96;262,31;263,96;262,31;0,28%
263,22;261,65;263,22;261,65;0,66%
261,49;260,69;261,49;260,69;0,32%
260,65;256,59;260,65;256,59;1,11%
257,79;255,43;257,79;255,43;-0,01%
257,82;255,19;257,82;255,19;0,71%
256,01;254,34;256,01;254,34;0,76%
254,08;250,96;254,08;250,96;1,18%
251,12;253,61;253,61;251,12;-1,61%
255,22;254,3;255,22;254,3;0,02%
255,18;251,79;255,18;251,79;1,15%
252,27;250,86;252,27;250,86;0,26%
251,62;251,61;251,62;251,61;0,12%
251,32;252,23;252,23;251,32;-0,40%
252,33;252,68;252,68;252,33;-1,52%
256,22;256,61;256,61;256,22;-0,71%
258,04;252,62;258,04;252,62;1,61%
253,94;252,35;253,94;252,35;0,02%
253,9;250,37;253,9;250,37;1,65%
249,78;255,82;255,82;249,78;-2,62%
256,51;251,67;256,51;251,67;1,94%
251,63;252,07;252,07;251,63;-0,45%
252,76;253,3;253,3;252,76;-0,67%
254,47;248,57;254,47;248,57;1,57%
250,53;247,33;250,53;247,33;1,21%
247,53;243,02;247,53;243,02;1,41%
244,1;242,74;244,1;242,74;0,04%
244,01;245,02;245,02;244,01;-0,87%
246,15;243,83;246,15;243,83;0,19%
245,69;239,2;245,69;239,2;2,35%
240,06;237,11;240,06;237,11;1,17%
237,29;237,41;237,41;237,29;0,14%
236,95;238,24;238,24;236,95;-0,48%
238,09;241,33;241,33;238,09;-1,69%
242,19;242,86;242,86;242,19;-0,26%
242,83;244,13;244,13;242,83;-1,35%
246,16;245,52;246,16;245,52;-0,53%
247,47;242,7;247,47;242,7;2,39%
241,7;243,1;243,1;241,7;-0,38%
242,63;238,71;253,84;238,71;0,96%
240,33;240,32;240,33;240,32;0,02%
240,28;238,71;240,28;238,71;0,97%
237,97;238,33;238,33;237,97;0,16%
237,58;239,33;239,33;237,58;-0,07%
237,75;240,32;240,32;237,75;-0,53%
239,01;241,46;241,46;239,01;-0,81%
240,97;241;241;240,97;0,18%
240,54;244,52;244,52;240,54;-1,19%
243,43;242,25;243,43;242,25;0,83%
241,43;246,47;246,47;241,43;-1,69%
245,59;250,33;250,33;245,59;-1,41%
249,1;249,91;249,91;249,1;0,07%
248,92;251,1;251,1;248,92;-0,11%
249,19;255,27;255,27;249,19;-1,46%
252,88;255,27;255,27;252,88;-0,38%
253,85;255,47;255,47;253,85;-0,06%
253,99;257,54;257,54;253,99;-0,38%
254,97;255,18;255,18;254,97;0,79%
252,96;259,68;259,68;252,96;-2,06%
258,28;257,45;258,28;257,45;1,03%
255,64;255,18;255,64;255,18;0,58%
254,16;253,6;254,16;253,6;0,83%
252,08;255,2;255,2;252,08;-0,87%
254,29;257,86;257,86;254,29;-0,90%
256,6;252,74;256,6;252,74;2,02%
251,51;250,8;251,51;250,8;0,91%
249,25;267,6;267,6;249,25;-0,80%
251,27;261,16;261,16;251,27;-3,41%
260,14;267,6;267,6;260,14;-2,60%
267,08;271,43;271,43;267,08;-1,13%
270,12;269,57;270,12;269,57;0,77%
268,05;268,69;268,69;268,05;0,57%
266,54;266,96;266,96;266,54;0,10%
266,27;269,55;269,55;266,27;-0,65%
268;272,84;272,84;268;-0,97%
270,62;268,77;270,62;268,77;1,34%
267,03;266,93;267,03;266,93;0,49%
265,73;269,62;269,62;265,73;-0,90%
268,14;273,5;273,5;268,14;-1,69%
272,76;276,08;276,08;272,76;-0,53%
274,2;272,48;274,2;272,48;1,22%
270,9;277,39;277,39;270,9;-1,71%
275,6;284,38;284,38;275,6;-2,22%
281,86;292,33;292,33;281,86;-3,22%
291,25;293,67;293,67;291,25;-0,51%
292,74;297,11;297,11;292,74;-0,89%
295,38;296,31;296,31;295,38;-0,29%
296,24;295,68;296,24;295,68;0,96%
293,42;300,83;300,83;293,42;-1,75%
298,64;294,47;298,64;294,47;2,41%
291,62;298,33;298,33;291,62;-1,77%
296,86;298,43;298,43;296,86;-0,29%
297,73;297,62;297,73;297,62;0,29%
296,87;299,23;299,23;296,87;-0,01%
296,9;305,68;305,68;296,9;-2,43%
304,29;304,07;304,29;304,07;0,85%
301,73;297,45;301,73;297,45;2,22%
295,19;295,32;295,32;295,19;0,16%
294,71;286,72;294,71;286,72;3,19%
285,6;282,45;285,6;282,45;1,65%
280,97;274,2;280,97;274,2;4,41%
269,09;268,69;269,09;268,69;-0,06%
269,26;275,45;275,45;269,26;-2,29%
275,58;271,34;275,58;271,34;0,95%
272,99;277;277;272,99;-1,65%
277,58;278,83;278,83;277,58;-0,43%
278,78;278,6;278,78;278,6;-0,08%
279,01;275,13;279,01;275,13;1,57%
274,71;286,35;286,35;274,71;-5,03%
289,25;290,72;290,72;289,25;0,01%
289,21;296,41;296,41;289,21;-1,51%
293,63;272,34;293,63;272,34;7,63%
272,82;273,81;273,81;272,82;-0,04%
272,93;270,91;272,93;270,91;0,64%
271,19;271,11;271,19;271,11;-0,88%
273,61;262,9;273,61;262,9;3,63%
264,03;271,52;271,52;264,03;-2,85%
271,78;265,78;271,78;265,78;1,08%
268,87;250,28;268,87;250,28;7,32%
250,54;254,03;254,03;250,54;-1,15%
253,46;261,09;261,09;253,46;-3,40%
262,382;242,99;262,382;242,99;8,66%
241,47;238,89;241,47;238,89;1,35%
